Year_Birth,Education,Divorced,YOLO,Widow,Single,Married,Absurd,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
3.59,3,0,0,0,0,1,0,0.41,0.0,1,5.0,3.99,0.45,0.23,0.11,0.08,0.0,0.1,0.33,0.37,0.36,1.92,2,0,0,0,0,0,0,3,11,0
3.11,5,0,0,0,0,1,0,0.0,5.0,1,0.0,0.2,0.77,1.06,0.56,0.95,0.7,0.73,4.0,1.3,0.36,3.08,9,0,0,0,0,0,0,3,11,0
3.11,3,0,0,0,1,0,0,0.0,2.5,1,5.0,2.27,0.02,0.0,0.02,0.04,0.0,0.01,0.33,0.19,0.0,0.77,7,0,0,0,0,0,0,3,11,0
3.88,4,0,0,0,0,1,0,0.0,0.0,0,2.5,4.39,1.49,0.93,1.04,1.89,0.53,0.25,0.33,0.37,0.71,3.08,1,0,0,0,0,0,0,3,11,0
3.83,4,0,0,0,1,0,0,0.32,2.5,0,5.0,3.48,0.05,0.05,0.03,0.0,0.02,0.06,0.33,0.19,0.0,1.15,7,0,0,0,0,0,0,3,11,0
3.74,5,0,0,0,0,1,0,0.18,2.5,0,5.0,4.24,0.09,0.05,0.04,0.0,0.0,0.0,1.0,0.56,0.18,1.15,5,0,0,0,0,0,0,3,11,0
4.37,3,0,0,0,0,1,0,0.23,2.5,0,5.0,1.52,0.02,0.08,0.03,0.23,0.1,0.12,0.33,0.37,0.0,1.15,6,0,0,0,0,0,0,3,11,0
3.25,3,0,0,1,0,0,0,0.36,0.0,1,0.0,3.64,1.69,0.0,0.08,0.0,0.0,1.04,1.67,1.3,0.71,2.31,6,0,1,0,0,0,0,3,11,0
3.83,3,1,0,0,0,0,0,0.39,2.5,1,2.5,1.87,0.17,0.05,0.02,0.0,0.02,0.03,0.67,0.37,0.0,1.15,7,0,0,0,0,0,0,3,11,0
2.82,2,0,0,0,0,1,0,0.59,0.0,0,2.5,2.22,0.69,0.65,1.3,1.45,0.0,3.08,0.33,0.93,1.25,4.62,2,0,0,0,1,0,0,3,11,0
4.37,5,0,0,0,0,1,0,0.38,0.0,0,2.5,1.62,0.45,1.16,0.27,1.25,1.16,0.15,0.67,0.93,0.36,2.69,5,0,0,0,0,0,0,3,11,0
3.25,2,0,0,0,1,0,0,0.36,0.0,1,2.5,0.0,0.18,0.03,0.01,0.04,0.02,0.14,0.67,0.37,0.0,1.15,8,0,0,0,0,0,0,3,11,0
3.2,5,0,0,0,1,0,0,0.26,0.0,1,5.0,2.17,0.14,0.03,0.02,0.04,0.0,0.07,0.67,0.37,0.0,1.15,6,0,0,0,0,0,0,3,11,0
4.17,3,0,0,0,0,1,0,0.64,0.0,1,2.5,2.98,1.29,4.32,0.53,3.57,2.51,1.53,0.67,1.67,0.89,4.23,5,0,0,0,0,0,0,3,11,0
2.52,5,0,0,0,0,1,0,0.49,0.0,0,2.5,3.43,1.88,2.04,0.8,1.54,0.76,1.12,0.33,1.11,0.54,2.31,4,0,0,0,0,0,0,3,11,0
3.2,3,0,0,0,0,1,0,0.65,0.0,0,5.0,1.77,0.73,1.91,2.0,0.97,0.49,0.52,0.33,0.56,1.96,1.92,1,0,0,0,0,0,0,3,11,1
4.17,1,0,0,0,0,1,0,0.18,2.5,0,2.5,4.75,0.0,0.08,0.02,0.19,0.0,0.12,0.33,0.19,0.0,1.15,5,0,0,0,0,0,0,3,11,0
3.45,3,0,0,0,0,1,0,0.37,2.5,1,2.5,0.76,0.48,0.03,0.09,0.04,0.02,0.1,1.33,0.74,0.18,1.54,7,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,1,0,0.39,0.0,2,2.5,2.83,0.99,2.66,0.79,1.45,1.86,0.9,1.33,1.11,0.71,4.62,6,0,0,0,0,0,0,3,11,0
4.13,3,0,0,0,1,0,0,0.29,2.5,0,0.0,0.86,0.25,0.08,0.09,0.08,0.08,0.37,0.67,0.56,0.18,1.15,7,0,0,0,0,0,0,3,11,0
3.25,4,0,0,0,0,1,0,0.67,0.0,0,0.0,0.91,1.52,4.87,0.31,0.6,0.42,0.59,0.33,0.93,0.71,1.54,2,0,0,0,0,0,0,3,11,0
4.17,3,0,0,0,0,1,0,0.58,0.0,1,2.5,2.32,1.42,2.89,0.85,0.44,0.67,1.09,0.33,1.11,1.07,4.23,3,0,0,0,0,0,0,3,11,0
4.76,5,0,0,0,1,0,0,0.51,0.0,0,0.0,2.02,4.46,0.43,0.9,0.44,0.97,1.19,0.33,1.3,0.71,1.92,9,0,1,0,0,0,0,3,11,1
3.4,4,0,0,0,0,1,0,0.43,0.0,1,5.0,1.36,1.76,0.0,0.06,0.0,0.0,0.83,1.0,1.48,0.18,3.08,6,0,1,0,0,0,0,3,11,0
4.76,3,0,0,0,1,0,0,0.65,0.0,0,2.5,4.8,1.64,1.11,0.36,0.56,0.38,0.3,0.33,1.11,1.25,4.23,3,0,1,1,0,0,0,3,11,1
4.22,5,0,0,0,0,1,0,0.33,2.5,0,0.0,0.96,1.27,0.0,0.29,0.0,0.0,0.99,1.67,1.11,0.71,2.31,7,0,0,0,0,0,0,3,11,0
3.35,3,0,0,0,1,0,0,0.38,2.5,1,2.5,1.36,0.21,0.03,0.06,0.0,0.02,0.37,0.67,0.37,0.18,1.15,6,0,0,0,0,0,0,3,11,0
3.74,3,0,0,0,0,1,0,0.68,0.0,0,5.0,1.26,1.83,2.49,2.35,2.92,1.56,0.46,0.0,0.74,1.07,1.92,1,0,0,1,1,0,0,3,11,0
4.13,2,0,0,0,0,1,0,0.27,2.5,0,2.5,3.74,0.16,2.26,0.27,2.37,1.96,1.66,1.67,1.67,0.18,1.92,9,0,0,0,0,0,0,3,11,0
3.59,2,0,0,0,0,1,0,0.23,2.5,1,2.5,4.29,0.04,0.13,0.07,0.0,0.17,0.41,0.67,0.19,0.18,1.15,5,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,1,0,0.16,2.5,0,2.5,1.87,0.0,0.15,0.02,0.21,0.1,0.04,0.67,0.37,0.0,1.15,6,0,0,0,0,0,0,3,11,0
2.91,4,0,0,0,0,1,0,0.42,0.0,1,2.5,3.28,1.07,1.21,0.39,0.75,1.37,0.66,1.33,1.11,0.36,3.85,4,0,0,0,0,0,0,3,11,0
3.59,4,0,0,0,1,0,0,0.24,2.5,0,5.0,0.66,0.11,0.08,0.08,0.0,0.08,0.14,1.0,0.37,0.18,1.15,5,0,0,0,0,0,0,3,11,1
4.47,4,0,0,0,0,1,0,0.15,5.0,0,2.5,3.18,0.03,0.0,0.02,0.06,0.08,0.1,0.67,0.19,0.0,1.15,7,0,0,0,0,0,0,3,11,0
4.03,3,1,0,0,0,0,0,0.23,2.5,0,2.5,4.19,0.06,0.0,0.04,0.14,0.06,0.03,0.33,0.19,0.0,1.15,7,0,0,0,0,0,0,3,11,0
4.37,3,0,0,0,1,0,0,0.76,0.0,0,2.5,3.48,2.42,0.68,0.3,0.85,1.37,2.32,0.0,1.11,1.43,5.0,2,0,1,1,1,0,0,3,11,1
3.5,2,0,0,0,0,1,0,0.54,0.0,0,2.5,4.39,0.54,0.83,0.36,0.77,0.53,2.38,0.67,0.56,0.71,2.69,1,0,0,0,0,0,0,3,11,0
4.42,3,0,0,0,1,0,0,0.6,0.0,0,2.5,1.87,1.51,3.34,2.76,3.34,0.0,2.98,0.33,0.56,1.07,2.31,1,0,0,0,0,0,0,3,11,1
2.91,4,0,0,0,0,1,0,0.41,2.5,1,5.0,2.58,0.23,0.0,0.05,0.0,0.0,0.06,0.67,0.37,0.0,1.54,6,0,0,0,0,0,0,3,11,0
3.3,5,0,0,0,0,1,0,0.0,0.0,1,2.5,1.16,1.18,0.0,0.08,0.19,0.0,0.21,1.0,1.11,0.18,2.69,6,0,0,0,0,0,0,3,11,0
3.06,5,0,0,0,0,1,0,0.58,2.5,1,5.0,3.64,1.65,0.48,0.32,0.31,0.23,0.17,1.33,1.11,0.54,3.85,4,0,0,0,0,0,0,3,11,0
2.86,3,0,0,0,0,1,0,0.47,0.0,1,2.5,0.51,0.4,1.46,0.21,1.25,1.69,0.8,1.67,0.93,0.71,1.92,5,0,0,0,0,0,0,3,11,0
3.16,4,0,0,0,1,0,0,0.46,2.5,1,2.5,2.12,1.79,0.13,0.14,0.0,0.1,0.57,1.67,2.04,0.18,2.31,8,0,0,0,0,0,0,3,11,0
3.69,3,0,0,0,0,1,0,0.55,0.0,0,5.0,0.51,0.79,2.66,0.55,0.44,0.78,1.8,0.33,1.3,0.36,3.46,4,0,0,0,0,0,0,3,11,0
3.4,3,0,0,0,0,1,0,0.0,0.0,1,2.5,4.85,0.77,1.63,0.57,0.73,1.35,1.71,0.33,1.11,0.89,2.69,4,0,0,0,0,0,0,3,11,0
3.45,5,0,0,0,0,1,0,0.31,2.5,1,2.5,2.58,0.74,0.0,0.1,0.06,0.0,0.32,1.67,0.93,0.18,1.92,8,0,0,0,0,0,0,3,11,0
3.59,5,0,0,0,0,1,0,0.47,0.0,0,2.5,1.06,2.67,0.35,1.71,0.73,0.84,0.0,0.33,0.74,0.89,5.0,3,0,1,0,0,0,0,3,11,0
4.03,1,1,0,0,0,0,0,0.07,2.5,0,0.0,1.57,0.0,0.03,0.01,0.19,0.11,0.12,0.67,0.19,0.0,1.15,8,0,0,0,0,0,0,3,11,0
3.2,5,0,0,0,0,1,0,0.25,5.0,1,2.5,3.08,0.18,0.03,0.1,0.04,0.0,0.22,1.0,0.37,0.36,0.77,8,0,0,0,0,0,0,3,11,0
3.88,5,0,0,0,1,0,0,0.27,2.5,1,5.0,1.87,0.05,0.0,0.02,0.08,0.04,0.28,0.67,0.19,0.18,0.77,5,1,0,0,0,0,0,3,11,1
3.5,5,1,0,0,0,0,0,0.28,2.5,1,2.5,3.74,0.06,0.03,0.03,0.06,0.02,0.06,0.67,0.37,0.0,1.15,7,0,0,0,0,0,0,3,11,0
4.81,4,0,0,0,1,0,0,0.7,0.0,0,0.0,2.32,3.22,1.53,2.67,1.0,1.16,0.28,0.33,0.93,0.71,4.62,2,0,0,0,0,0,0,3,11,0
